"Product Name"	"Category String"	Description	"Product URL"	"Product Images"
"Loose Hooded Coat"	Women;Women/Coats	"Handmade sewed coat from 100% organic wool. Natural colours of the wool. Hand and cold machine wash OK. Do not tumble dry. Do you have some special preferences like a hoodie, or maybe a thicker collar, fringes or extra pockets? Just name it and we will do it! All sizes and preferences! Just get in touch and we will do our best to make your dream cloth."	/loose-hooded-coat/	"Product Image File: P05A7017__56688.JPG|Product Image File: P05A7016__89587.JPG"
"Classic Coat - Brown Karena"	Women;Women/Coats	"Handmade sewed coat with lining from 100% organic wool. Natural colours of the wool available. Hand and cold machine wash OK. Do not tumble dry. Do you have some special preferences like a hoodie, maybe a thicker collar, fringes or extra pockets? Just name it and we will do it! All sizes and preferences! Just get in touch and we will do our best to make your dream cloth."	/classic-coat-brown-karena/	"Product Image File: IMG_7682__92101.JPG|Product Image File: IMG_7685__34388.JPG|Product Image File: IMG_7687__58963.JPG|Product Image File: IMG_7689__27978.JPG"
"Classic Coat - White Rhombus"	Women;Women/Coats	"Handmade coat from 100% organic wool. Natural colours of the wool available. Hand and cold machine wash OK. Do not tumble dry. Do you have some special preferences like a hoodie, or maybe a thicker collar, fringes or extra pockets? Just name it and we will do it! All sizes and preferences! Just get in touch and we will do our best to make your dream cloth."	/classic-coat-white-rhombus/	"Product Image File: IMG_7691__66523.JPG|Product Image File: IMG_7693__24172.JPG|Product Image File: IMG_7695__22327.JPG"
"Classic Soft Coat"	Women;Women/Coats	"Handmade sewed coat from 100% organic wool. Different colours available upon request. Hand and cold machine wash OK. Do not tumble dry. Do you have some special preferences like a hoodie, or maybe a thicker collar, fringes or extra pockets? Just name it and we will do it!  All sizes and preferences! Just get in touch and we will do our best to make your dream cloth."	/classic-soft-coat/	"Product Image File: P05A7039__78385.JPG|Product Image File: P05A7040__12091.JPG"
"Loose Hooded Coat 2"	Women;Women/Coats	"Handmade sewed coat from 100% organic wool. Hand and cold machine wash OK. Do not tumble dry. Do you have some special preferences like a hoodie, or maybe a thicker collar, fringes or extra pockets? Just name it and we will do it! All sizes and preferences! Just get in touch and we will do our best to make your dream cloth."	/loose-hooded-coat-2/	"Product Image File: P05A7018__24483.JPG|Product Image File: P05A7019__06795.JPG"
"Oversized Collar Coat - Dark Rhombus"	Women;Women/Coats	"Handmade sewed coat from 100% organic wool. Natural colours of the wool. Hand and cold machine wash OK. Do not tumble dry. Do you have some special preferences like a hoodie, or maybe a thicker collar, fringes or extra pockets? Just name it and we will do it! All sizes and preferences! Just get in touch and we will do our best to make your dream cloth."	/oversized-collar-coat-dark-rhombus/	"Product Image File: P05A7027__35076.JPG|Product Image File: P05A7028__80522.JPG"
"Oversized Collar Coat"	Women;Women/Coats	"Handmade knitted coat from 100% organic wool. The color from the photo is B192. Hand and cold machine wash OK. Do not tumble dry. Do you have some special preferences like a hoodie, or maybe a thicker collar, fringes or extra pockets? Just name it and we will do it! All sizes and preferences! Just get in touch and we will do our best to make your dream cloth."	/oversized-collar-coat/	"Product Image File: P05A7023__81234.JPG|Product Image File: P05A7024__40703.JPG"
"Oversized Collar Coat 2"	Women;Women/Coats	"Handmade knitted coat from 85% eco wool, 15% acrylic. The color from the photo is B144. Hand and cold machine wash OK. Do not tumble dry. Do you have some special preferences like a hoodie, or maybe a thicker collar, fringes or extra pockets? Just name it and we will do it! All sizes and preferences! Just get in touch and we will do our best to make your dream cloth."	/oversized-collar-coat-2-1/	"Product Image File: P05A7022__98478.JPG|Product Image File: P05A7021__28952.JPG"
"Oversized Collar Coat - 2"	Women;Women/Coats	"Handmade sewed coat from 100% eco wool. Hand and cold machine wash OK. Do not tumble dry. Do you have some special preferences like a hoodie, or maybe a thicker collar, fringes or extra pockets? Just name it and we will do it! All sizes and preferences! Just get in touch and we will do our best to make your dream cloth."	/oversized-collar-coat-2/	"Product Image File: P05A7025__03516.JPG|Product Image File: P05A7026__16605.JPG"
"Short Coat "	Women;Women/Coats	"Handmade coat from 100% eco wool. Hand and cold machine wash OK. Do not tumble dry. Do you have some special preferences like a hoodie, or maybe a thicker collar, fringes or extra pockets? Just name it and we will do it! All sizes and preferences! Just get in touch and we will do our best to make your dream cloth."	/short-coat/	"Product Image File: P05A7045__04232.JPG|Product Image File: P05A7046__92425.JPG"
"Short Coat 2"	Women;Women/Coats	"Handmade coat from 100% eco wool. Hand and cold machine wash OK. Do not tumble dry. Do you have some special preferences like a hoodie, or maybe a thicker collar, fringes or extra pockets? Just name it and we will do it! All sizes and preferences! Just get in touch and we will do our best to make your dream cloth."	/short-coat-2/	"Product Image File: P05A7044__79969.JPG|Product Image File: P05A7043__59919.JPG"
"Short Coat 3"	Women;Women/Coats	"Handmade coat from 100% eco wool. Hand and cold machine wash OK. Do not tumble dry. Do you have some special preferences like a hoodie, or maybe a thicker collar, fringes or extra pockets? Just name it and we will do it! All sizes and preferences! Just get in touch and we will do our best to make your dream cloth."	/short-coat-3/	"Product Image File: P05A7054__37620.JPG|Product Image File: P05A7055__99546.JPG"
"Long Cardigan 2"	Women;Women/Cardigans	"Handmade cardigan from 85% eco wool, 15% acrylic. The color from the photo is B206. Hand and cold machine wash OK. Do not tumble dry. Do you have some special preferences like a hoodie, or maybe a thicker collar, fringes or extra pockets? Just name it and we will do it! All sizes and preferences! Just get in touch and we will do our best to make your dream cloth."	/long-cardigan-2/	"Product Image File: P05A7029__98943.JPG|Product Image File: P05A7031__02843.JPG"
